,day,latitude_1,longitude_1,latitude_2,longitude_2
2254210,2020-02-25,34.48764038085938,-98.6345812739158,34.535018920898445,-98.61400993502872
2254355,2020-02-25,45.58287048339844,-122.5649503382241,43.570380776615465,-116.23744419642858
2188836,2020-02-25,49.18963623046875,-123.2054020808293,49.98188781738281,-121.48710552014799
2221324,2020-02-25,35.137435913085945,-80.63163290218432,34.394943237304695,-78.5918192960778
2206319,2020-02-25,2.7856393587791306,101.69688783842942,2.899226819054556,105.1759548844962
2210765,2020-02-25,43.47201589810646,5.119759695870536,41.50411314883475,9.397781726925873
2233965,2020-02-25,33.64684024099576,-84.4087028503418,39.62690734863281,-86.2547965671705
2244675,2020-02-25,45.58438110351562,-122.5951627405678,44.86667439088983,-123.28495676924541
2198371,2020-02-25,44.88656616210938,-93.23207310267857,36.14101603879767,-86.65629934757311
2270660,2020-02-25,34.0275444418697,-113.11798095703121,33.42674126059322,-112.36962143255741
2235957,2020-02-25,50.7803913698358,-1.8405914306640616,49.48907884500795,-1.9902327254011989
2206639,2020-02-25,40.54069519042969,-3.55670166015625,41.85614117121292,12.257165243459301
2180608,2020-02-25,-16.89463806152344,145.7565789473684,-27.3782958984375,153.1322608803803
2219874,2020-02-25,52.7666015625,-2.588119506835938,52.80386352539062,-2.62939453125
2187048,2020-02-25,40.66548156738281,-74.185302734375,50.04598326602224,8.568018320444468
2195557,2020-02-25,23.47865295410156,113.36367520419027,21.93965148925781,113.30554754083806
2218571,2020-02-25,51.2764892578125,-0.7743134369721361,51.2786865234375,-0.76751708984375
2178986,2020-02-25,49.19068908691406,-123.21181077223558,33.95347983150159,-118.388671875
2240970,2020-02-25,58.13625012413929,-151.6798095703125,61.18318719378972,-150.00528971354169
2257783,2020-02-25,36.88325500488281,-76.21134007230718,38.936536110053616,-77.436279296875
2182995,2020-02-25,28.36642456054688,-81.49959270770735,41.77532958984375,-87.76415738192472
2233990,2020-02-25,32.93646240234375,-96.43601074218748,33.027969360351555,-95.59401855468748
2212235,2020-02-25,25.91917419433594,86.88921082694576,28.54089769266419,77.09499583524816
2206354,2020-02-25,60.32129578671214,24.95657239641462,45.62503051757812,8.735001726848324
2194106,2020-02-25,37.62954711914062,-122.3949416140292,34.19805908203125,-118.3842997648278
2272974,2020-02-25,-27.39399719238281,153.1231401551445,-23.5711669921875,151.0157775878906
2261281,2020-02-25,32.88885498046875,-113.16967163085941,33.26152736857786,-111.8235560825893
2188971,2020-02-25,43.564887612552965,-116.2212262834821,47.45944782838983,-122.31790395883421
2193149,2020-02-25,35.88223214876854,-78.79254280252655,38.88121032714844,-77.04914922299594
2248115,2020-02-25,37.45835126456568,15.10566379712976,51.38352216300318,-2.696151733398438
2240703,2020-02-25,8.859603881835938,76.76701432567532,14.79318237304688,76.86380846747036
2194752,2020-02-25,51.10830533302436,-114.0213775634766,49.16903686523438,-123.02398681640629
2214186,2020-02-25,34.789169311523445,-89.98856525031889,26.0771484375,-80.19138552107898
2254444,2020-02-25,33.634963989257805,-84.44063770527742,32.294815063476555,-83.340087890625
2240730,2020-02-25,24.41006469726562,55.1654052734375,26.73939514160156,49.94089378500885
2254599,2020-02-25,40.76998901367188,-73.8529052734375,29.99354553222656,-95.23175407858456
2221903,2020-02-25,40.97552490234375,14.05816650390625,45.65359497070312,9.78292325647866
2228994,2020-02-25,38.78375244140625,-104.6857949961787,32.84884643554688,-97.05492553710934
2180669,2020-02-25,40.84633002846928,-74.07107266512787,41.52845764160156,-92.33290932395245
2181115,2020-02-25,33.646793688757946,-84.40853118896484,36.2607421875,-94.29719924926758
2233501,2020-02-25,33.97824562202066,-83.40934753417969,33.91744839943061,-86.47167205810547
2216199,2020-02-25,49.302264714645126,8.446101138466283,49.44541284593485,8.512251570418075
2259289,2020-02-25,42.57160251423464,-70.90192927870635,42.62583587129237,-70.95967137536338
2240919,2020-02-25,39.87464904785156,-75.22577700407606,34.192337036132805,-79.1245441047513
2242154,2020-02-25,55.60647583007812,12.62570467862216,53.35853576660156,-2.265066964285666
2187616,2020-02-25,43.6947218038268,-79.63341849190851,49.78603557004767,-97.25268389727621
2224876,2020-02-25,51.873577570511124,0.2178955078125,28.89990234375,-16.94968590369592
